t_s,er
0.00,0.0855
3.48,0.0940
6.98,0.0987
10.46,0.1040
13.95,0.1058
17.44,0.1167
21.07,0.1167
24.57,0.1296
28.05,0.1454
31.54,0.1454
35.03,0.1454
38.52,0.1454
42.01,0.1454
45.50,0.1454
48.99,0.1454
52.48,0.1454
55.97,0.1454
59.46,0.1454
62.95,0.1454
66.44,0.1454
69.96,0.1454
73.46,0.1454
76.94,0.1454
80.43,0.1454
83.93,0.1454
87.41,0.1454
90.90,0.1454
94.50,0.1454
97.99,0.1454
101.48,0.1454
104.97,0.1454
108.46,0.1454
111.95,0.1454
115.44,0.1454
118.94,0.1454
122.59,0.1454
126.08,0.1454
129.57,0.1454
133.06,0.1454
136.55,0.1454
140.04,0.1454
143.53,0.1454
147.14,0.1454
150.63,0.1454
154.12,0.1454
157.62,0.1454
161.10,0.1454
164.59,0.1454
168.08,0.1454
171.65,0.1454
175.14,0.1454
178.63,0.1454
182.12,0.1454
185.61,0.1454
189.11,0.1454
192.59,0.1454
196.09,0.1454
199.72,0.1454
203.21,0.1454
206.70,0.1454
210.19,0.1454
213.69,0.1454
217.17,0.1454
220.66,0.1454
224.42,0.1454
227.91,0.1454
231.41,0.1454
234.89,0.1454
238.38,0.1454
241.87,0.1454
245.36,0.1454
248.86,0.1454
252.34,0.1454
255.83,0.1454
259.32,0.1454
262.81,0.1454
266.30,0.1454
269.79,0.1454
273.28,0.1454
276.87,0.1454
280.36,0.1454
283.85,0.1454
287.34,0.1454
290.83,0.1454
294.32,0.1454
297.81,0.1454
301.44,0.1454
304.93,0.1454
308.42,0.1454
311.91,0.1454
315.40,0.1454
318.89,0.1454
322.38,0.1454
325.98,0.1454
329.47,0.1454
332.96,0.1454
336.45,0.1454
339.95,0.1454
343.43,0.1454
346.92,0.1454
350.41,0.1454
354.15,0.1454
357.64,0.1454
361.13,0.1454
364.62,0.1454
368.11,0.1454
371.61,0.1454
375.09,0.1454
378.79,0.1454
382.28,0.1454
385.77,0.1454
389.26,0.1454
392.75,0.1454
396.24,0.1454
399.74,0.1454
403.35,0.1454
406.84,0.1454
410.33,0.1454
413.82,0.1454
417.31,0.1454
420.80,0.1454
424.29,0.1454
427.90,0.1454
431.38,0.1454
434.87,0.1454
438.36,0.1454
441.85,0.1454
445.34,0.1454
448.84,0.1454
452.32,0.1454
455.90,0.1454
459.40,0.1454
462.88,0.1454
466.37,0.1454
469.86,0.1454
473.35,0.1454
476.85,0.1454
480.33,0.1454
483.82,0.1454
487.31,0.1454
490.80,0.1454
494.30,0.1454
497.78,0.1454
501.27,0.1454
504.79,0.1454
508.27,0.1454
511.76,0.1454
515.25,0.1454
518.74,0.1454
522.23,0.1454
525.72,0.1454
529.22,0.1454
532.84,0.1454
536.33,0.1454
539.82,0.1454
543.31,0.1454
546.81,0.1454
550.29,0.1454
553.78,0.1454
557.27,0.1454
560.76,0.1454
564.26,0.1454
567.74,0.1454
571.23,0.1454
574.73,0.1454
578.21,0.1454
581.84,0.1454
585.33,0.1454
588.82,0.1454
592.31,0.1454
595.80,0.1454
599.29,0.1454
602.78,0.1454
606.27,0.1454
609.81,0.1454
613.31,0.1454
616.79,0.1454
620.28,0.1454
623.77,0.1454
627.26,0.1454
630.75,0.1454
634.32,0.1454
637.81,0.1454
641.30,0.1454
644.79,0.1454
648.28,0.1454
651.78,0.1454
655.26,0.1454
658.86,0.1454
662.36,0.1454
665.84,0.1454
669.33,0.1454
672.82,0.1454
676.31,0.1454
679.80,0.1454
683.29,0.1454
686.82,0.1454
690.31,0.1454
693.80,0.1454
697.30,0.1454
700.78,0.1454
704.27,0.1454
707.78,0.1454
711.27,0.1454
714.76,0.1454
718.25,0.1454
721.75,0.1454
725.23,0.1454
728.72,0.1454
732.21,0.1454
735.76,0.1454
739.25,0.1454
742.74,0.1454
746.23,0.1454
749.73,0.1454
753.21,0.1454
756.70,0.1454
760.21,0.1454
763.70,0.1454
767.19,0.1454
770.68,0.1454
774.17,0.1454
777.66,0.1454
781.16,0.1454
784.67,0.1454
788.17,0.1454
791.66,0.1454
795.15,0.1454
798.64,0.1454
802.13,0.1454
805.62,0.1454
809.11,0.1454
812.66,0.1454
816.15,0.1454
819.65,0.1454
823.13,0.1454
826.62,0.1454
830.11,0.1454
833.60,0.1454
837.09,0.1454
840.58,0.1454
844.07,0.1454
847.56,0.1454
851.05,0.1454
854.55,0.1454
858.03,0.1454
861.54,0.1454
865.03,0.1454
868.52,0.1454
872.01,0.1454
875.51,0.1454
878.99,0.1454
882.49,0.1454
886.02,0.1454
889.54,0.1454
893.02,0.1454
896.51,0.1454
900.01,0.1454
903.49,0.1454
906.98,0.1454
910.47,0.1454
914.01,0.1454
917.51,0.1454
920.99,0.1454
924.48,0.1454
927.97,0.1454
931.46,0.1454
934.95,0.1454
938.48,0.1454
941.98,0.1454
945.46,0.1454
948.95,0.1454
952.45,0.1454
955.93,0.1454
959.42,0.1454
962.93,0.1454
966.42,0.1454
969.91,0.1454
973.40,0.1454
976.89,0.1454
980.38,0.1454
983.88,0.1454
987.36,0.1454
990.85,0.1454
994.34,0.1454
997.83,0.1454
1001.32,0.1454
1004.81,0.1454
1008.30,0.1454
1011.79,0.1454
1015.28,0.1454
1018.77,0.1454
1022.26,0.1454
1025.75,0.1454
1029.25,0.1454
1032.73,0.1454
1036.22,0.1454
1039.71,0.1454
1043.20,0.1454
1046.69,0.1454
1050.18,0.1454
1053.68,0.1454
1057.16,0.1454
1060.65,0.1454
1064.14,0.1454
1067.63,0.1454
1071.13,0.1454
1074.61,0.1454
1078.10,0.1454
1081.59,0.1454
1085.08,0.1454
1088.63,0.1454
1092.12,0.1454
1095.62,0.1454
1099.10,0.1454
1102.59,0.1454
1106.08,0.1454
1109.57,0.1454
1113.08,0.1454
1116.57,0.1454
1120.06,0.1454
1123.56,0.1454
1127.04,0.1454
1130.53,0.1454
1134.02,0.1454
1137.53,0.1454
1141.02,0.1454
1144.51,0.1454
1148.01,0.1454
1151.49,0.1454
1154.98,0.1454
1158.47,0.1454
1161.96,0.1454
1165.46,0.1454
1168.94,0.1454
1172.43,0.1454
1175.93,0.1454
1179.41,0.1454
1182.90,0.1454
1186.39,0.1454
1189.94,0.1454
1193.44,0.1454
1196.92,0.1454
1200.41,0.1454
1203.90,0.1454
1207.39,0.1454
1210.88,0.1454
1214.39,0.1454
1217.88,0.1454
1221.37,0.1454
1224.86,0.1454
1228.36,0.1454
1231.84,0.1454
1235.33,0.1454
1238.83,0.1454
1242.31,0.1454
1245.80,0.1454
1249.29,0.1454
1252.78,0.1454
1256.27,0.1454
1259.76,0.1454
1263.25,0.1454
1266.74,0.1454
1270.23,0.1454
1273.73,0.1454
1277.21,0.1454
1280.70,0.1454
1284.19,0.1454
1287.68,0.1454
1291.17,0.1454
1294.66,0.1454
1298.15,0.1454
1301.64,0.1454
1305.13,0.1454
1308.62,0.1454
1312.11,0.1454
1315.60,0.1454
1319.09,0.1454
1322.58,0.1454
1326.07,0.1454
1329.56,0.1454
1333.05,0.1454
1336.54,0.1454
1340.03,0.1454
1343.52,0.1454
1347.01,0.1454
1350.50,0.1454
1353.99,0.1454
1357.48,0.1454
1360.97,0.1454
1364.46,0.1454
1367.95,0.1454
1371.44,0.1454
1374.93,0.1454
1378.42,0.1454
1381.91,0.1454
1385.40,0.1454
1388.89,0.1454
1392.38,0.1454
1395.87,0.1454
1399.36,0.1454
1402.86,0.1454
1406.34,0.1454
1409.83,0.1454
1413.34,0.1454
1416.83,0.1454
1420.32,0.1454
1423.81,0.1454
1427.31,0.1454
1430.79,0.1454
1434.28,0.1454
1437.77,0.1454
1441.32,0.1454
1444.81,0.1454
1448.30,0.1454
1451.79,0.1454
1455.28,0.1454
1458.77,0.1454
1462.26,0.1454
1465.76,0.1454
1469.24,0.1454
1472.73,0.1454
1476.22,0.1454
1479.71,0.1454
1483.20,0.1454
1486.69,0.1454
1490.20,0.1454
1493.69,0.1454
1497.18,0.1454
1500.67,0.1454
1504.16,0.1454
1507.65,0.1454
1511.14,0.1454
1514.71,0.1454
1518.20,0.1454
1521.69,0.1454
1525.18,0.1454
1528.67,0.1454
1532.16,0.1454
1535.65,0.1454
1539.16,0.1454
1542.70,0.1454
1546.18,0.1454
1549.67,0.1454
1553.16,0.1454
1556.65,0.1454
1560.14,0.1454
1563.63,0.1454
1567.27,0.1454
1570.76,0.1454
1574.26,0.1454
1577.74,0.1454
1581.23,0.1454
1584.72,0.1454
1588.21,0.1454
1591.77,0.1454
1595.26,0.1454
1598.76,0.1454
1602.24,0.1454
1605.73,0.1454
