t_s,er
0.00,0.0318
3.53,0.0362
7.05,0.0458
10.58,0.0469
14.12,0.0469
17.65,0.0469
21.17,0.0480
24.72,0.0480
28.26,0.0482
31.79,0.0482
35.32,0.0482
38.85,0.0482
42.38,0.0482
45.93,0.0482
49.46,0.0482
52.99,0.0482
56.52,0.0482
60.05,0.0482
63.61,0.0482
67.14,0.0484
70.67,0.0484
74.20,0.0484
77.73,0.0484
81.28,0.0484
84.79,0.0590
88.33,0.0610
91.85,0.0620
95.38,0.0620
98.92,0.0620
102.45,0.0620
105.97,0.0620
109.50,0.0620
113.03,0.0620
116.58,0.0620
120.10,0.0620
123.62,0.0620
127.15,0.0620
130.68,0.0620
134.21,0.0626
137.74,0.0626
141.27,0.0634
144.80,0.0634
148.33,0.0634
151.86,0.0634
155.39,0.0640
158.94,0.0640
162.47,0.0642
166.00,0.0642
169.54,0.0642
173.06,0.0643
176.59,0.0643
180.12,0.0643
183.65,0.0644
187.18,0.0644
190.71,0.0644
194.24,0.0644
197.77,0.0644
201.30,0.0644
204.83,0.0644
208.37,0.0644
211.91,0.0644
215.44,0.0644
218.96,0.0645
222.49,0.0645
226.02,0.0645
229.55,0.0645
233.08,0.0645
236.61,0.0645
240.15,0.0645
243.67,0.0645
247.20,0.0645
250.73,0.0645
254.26,0.0645
257.81,0.0645
261.34,0.0645
264.87,0.0645
268.40,0.0645
271.94,0.0645
275.46,0.0724
278.99,0.0733
282.53,0.0842
286.05,0.0915
289.58,0.0915
293.11,0.0981
296.66,0.1182
300.18,0.1235
303.71,0.1235
307.24,0.1308
310.78,0.1311
314.30,0.1326
317.83,0.1413
321.36,0.1669
324.89,0.1743
328.42,0.1781
331.95,0.1803
335.49,0.1876
339.03,0.1929
342.55,0.1961
346.09,0.1984
349.61,0.1985
353.14,0.1993
356.67,0.1993
360.21,0.1993
363.73,0.1993
367.27,0.1993
370.80,0.1993
374.32,0.1993
377.85,0.1993
381.39,0.1993
384.92,0.1993
388.44,0.1993
391.98,0.1993
395.51,0.2000
399.03,0.2000
402.57,0.2000
406.11,0.2000
409.64,0.2000
413.17,0.2000
416.70,0.2000
420.23,0.2000
423.76,0.2000
427.29,0.2000
430.82,0.2000
434.35,0.2000
437.89,0.2000
441.41,0.2000
444.94,0.2000
448.47,0.2003
452.00,0.2003
455.54,0.2003
459.06,0.2003
462.60,0.2003
466.13,0.2003
469.66,0.2003
473.21,0.2003
476.74,0.2003
480.28,0.2003
483.80,0.2003
487.34,0.2003
490.86,0.2003
494.39,0.2003
497.96,0.2003
501.48,0.2003
505.01,0.2003
508.54,0.2003
512.06,0.2003
515.59,0.2003
519.14,0.2003
522.67,0.2003
526.21,0.2003
529.76,0.2003
533.29,0.2003
536.82,0.2003
540.35,0.2037
543.89,0.2133
547.41,0.2232
550.94,0.2276
554.47,0.2301
558.00,0.2320
561.55,0.2320
565.08,0.2354
568.60,0.2450
572.14,0.2501
575.67,0.2558
579.21,0.2566
582.74,0.2584
586.27,0.2584
589.80,0.2587
593.34,0.2609
596.86,0.2636
600.39,0.2695
603.94,0.2782
607.46,0.2964
610.99,0.3079
614.52,0.3274
618.05,0.3401
621.59,0.3467
625.13,0.3469
628.66,0.3472
632.19,0.3491
635.72,0.3491
639.25,0.3491
642.79,0.3548
646.31,0.3552
649.84,0.3552
653.37,0.3552
656.90,0.3630
660.45,0.3631
663.97,0.3631
667.50,0.3631
671.03,0.3631
674.56,0.3631
678.12,0.3631
681.65,0.3632
685.19,0.3647
688.71,0.3647
692.24,0.3663
695.77,0.3709
699.30,0.3709
702.84,0.3714
706.37,0.3714
709.90,0.3714
713.42,0.3724
716.95,0.3758
720.48,0.3911
724.02,0.3947
727.55,0.3947
731.08,0.3949
734.62,0.3949
738.14,0.3949
741.67,0.3960
745.20,0.3966
748.73,0.3969
752.26,0.4042
755.80,0.4358
759.32,0.4488
762.86,0.4489
766.39,0.4567
769.91,0.4686
773.44,0.4688
776.98,0.4690
780.51,0.4698
784.03,0.4765
787.56,0.4813
791.10,0.5008
794.63,0.5047
798.15,0.5057
801.69,0.5057
805.22,0.5057
808.75,0.5066
812.29,0.5083
815.80,0.5087
819.34,0.5087
822.87,0.5087
826.39,0.5089
829.92,0.5089
833.46,0.5089
837.01,0.5141
840.54,0.5179
844.07,0.5179
847.59,0.5181
851.12,0.5221
854.65,0.5235
858.18,0.5305
861.71,0.5355
865.25,0.5374
868.79,0.5378
872.31,0.5380
875.85,0.5380
879.38,0.5380
882.90,0.5380
886.44,0.5380
889.97,0.5380
893.51,0.5380
897.04,0.5380
900.58,0.5380
904.10,0.5380
907.64,0.5380
911.17,0.5380
914.70,0.5380
918.23,0.5380
