t_s,er
0.00,0.0481
0.02,0.0481
0.03,0.0481
0.03,0.0481
0.04,0.0481
0.05,0.0481
0.07,0.0481
0.09,0.0481
0.09,0.0481
0.09,0.0481
0.10,0.0481
0.11,0.0481
0.12,0.0481
0.13,0.0481
0.15,0.0481
0.16,0.0481
0.17,0.0481
0.17,0.0481
0.18,0.0481
0.19,0.0481
0.20,0.0481
0.21,0.0481
0.22,0.0481
0.23,0.0481
0.24,0.0481
0.25,0.0481
0.26,0.0481
0.27,0.0481
0.29,0.0481
0.29,0.0481
0.30,0.0481
0.31,0.0481
0.32,0.0481
0.34,0.0481
0.35,0.0481
0.36,0.0481
0.36,0.0481
0.39,0.0481
0.39,0.0481
0.39,0.0481
0.40,0.0481
0.41,0.0481
0.42,0.0481
0.43,0.0481
0.44,0.0481
0.45,0.0481
0.46,0.0481
0.47,0.0481
0.49,0.0481
0.49,0.0481
0.50,0.0481
0.51,0.0481
0.52,0.0481
0.54,0.0481
0.55,0.0481
0.56,0.0481
0.56,0.0481
0.58,0.0481
0.58,0.0481
0.60,0.0481
0.60,0.0481
0.62,0.0481
0.62,0.0481
0.63,0.0481
0.64,0.0481
0.66,0.0481
0.66,0.0481
0.67,0.0481
0.68,0.0481
0.69,0.0481
0.71,0.0481
0.71,0.0481
0.72,0.0481
0.74,0.0481
0.74,0.0481
0.76,0.0481
0.76,0.0481
0.77,0.0481
0.79,0.0481
0.80,0.0481
0.81,0.0481
0.81,0.0481
0.82,0.0481
0.84,0.0481
0.84,0.0481
0.85,0.0481
0.86,0.0481
0.87,0.0481
0.89,0.0481
0.89,0.0481
0.90,0.0481
0.91,0.0481
0.92,0.0481
0.94,0.0481
0.94,0.0481
0.95,0.0481
0.96,0.0481
0.97,0.0481
0.99,0.0481
0.99,0.0481
1.00,0.0481
1.02,0.0481
1.02,0.0481
1.03,0.0481
1.04,0.0481
1.05,0.0481
1.06,0.0481
1.07,0.0481
1.09,0.0481
1.09,0.0481
1.10,0.0481
1.11,0.0481
1.12,0.0481
1.14,0.0481
1.15,0.0481
1.16,0.0481
1.17,0.0481
1.18,0.0481
1.19,0.0481
1.19,0.0481
1.21,0.0481
1.22,0.0481
1.22,0.0481
1.23,0.0481
1.24,0.0481
1.26,0.0481
1.27,0.0481
1.27,0.0481
1.29,0.0481
1.29,0.0481
1.30,0.0481
1.31,0.0481
1.32,0.0481
1.33,0.0481
1.34,0.0481
1.35,0.0481
1.36,0.0481
1.37,0.0481
1.39,0.0481
1.39,0.0481
1.40,0.0481
1.41,0.0481
1.42,0.0481
1.43,0.0481
1.44,0.0481
1.45,0.0481
1.46,0.0481
1.47,0.0481
1.49,0.0481
1.49,0.0481
1.50,0.0481
1.51,0.0481
1.52,0.0481
1.54,0.0481
