t_s,er
0.00,0.0399
2.26,0.0495
4.49,0.0579
6.72,0.0628
8.94,0.0631
11.17,0.0631
13.39,0.0668
15.62,0.0668
17.85,0.0669
20.07,0.0669
22.30,0.0669
24.52,0.0765
26.75,0.0929
28.98,0.1143
31.20,0.1251
33.43,0.1301
35.65,0.1313
37.88,0.1406
40.11,0.1480
42.33,0.1517
44.56,0.1557
46.78,0.1570
49.01,0.1606
51.24,0.1692
53.46,0.1764
55.69,0.1848
57.91,0.1859
60.14,0.1861
62.37,0.1901
64.59,0.1990
66.82,0.2031
69.04,0.2089
71.27,0.2157
73.50,0.2240
75.72,0.2367
77.95,0.2492
80.17,0.2641
82.40,0.2826
84.63,0.2997
86.85,0.3070
89.08,0.3256
91.30,0.3358
93.53,0.3483
95.76,0.3760
97.98,0.3917
100.21,0.3946
102.43,0.3965
104.66,0.3966
106.89,0.3972
109.11,0.3981
111.34,0.4000
113.56,0.4039
115.79,0.4114
118.02,0.4145
120.24,0.4157
122.47,0.4157
124.69,0.4171
126.92,0.4171
129.15,0.4198
131.37,0.4242
133.60,0.4328
135.82,0.4387
138.05,0.4435
140.28,0.4453
142.50,0.4468
144.73,0.4483
146.95,0.4495
149.18,0.4495
151.41,0.4495
153.63,0.4495
155.86,0.4495
158.08,0.4495
160.31,0.4495
162.54,0.4498
164.76,0.4506
166.99,0.4527
169.21,0.4540
171.44,0.4561
173.67,0.4567
175.89,0.4587
178.12,0.4590
180.34,0.4592
182.57,0.4592
184.80,0.4605
187.02,0.4617
189.25,0.4620
191.47,0.4624
193.70,0.4630
195.93,0.4633
198.15,0.4634
200.38,0.4638
202.60,0.4654
204.83,0.4663
207.06,0.4663
209.28,0.4666
211.51,0.4667
213.73,0.4668
215.96,0.4668
218.19,0.4668
220.42,0.4669
222.64,0.4670
224.87,0.4670
227.10,0.4671
229.32,0.4697
231.55,0.4698
233.77,0.4699
236.00,0.4699
238.23,0.4700
240.45,0.4700
242.68,0.4700
244.90,0.4700
247.13,0.4700
249.36,0.4700
251.58,0.4700
253.81,0.4701
256.03,0.4707
258.26,0.4713
260.49,0.4715
262.71,0.4721
264.94,0.4722
267.16,0.4724
269.39,0.4727
271.62,0.4729
273.84,0.4729
276.07,0.4729
278.29,0.4730
280.52,0.4730
282.75,0.4730
284.97,0.4732
287.20,0.4735
289.42,0.4739
291.65,0.4740
293.88,0.4747
296.10,0.4762
298.33,0.4762
300.55,0.4764
302.78,0.4765
305.01,0.4769
307.23,0.4772
309.46,0.4772
311.68,0.4772
313.91,0.4774
316.14,0.4776
318.36,0.4776
320.59,0.4776
322.81,0.4776
325.04,0.4776
327.27,0.4776
329.49,0.4776
331.72,0.4776
333.94,0.4776
336.17,0.4777
338.40,0.4777
340.62,0.4777
342.85,0.4777
345.07,0.4777
347.30,0.4777
349.53,0.4777
351.75,0.4777
353.98,0.4777
356.20,0.4777
358.43,0.4777
360.66,0.4777
362.88,0.4777
365.11,0.4777
367.33,0.4777
369.56,0.4777
371.79,0.4777
374.01,0.4777
376.24,0.4777
378.46,0.4777
380.69,0.4777
382.92,0.4777
385.14,0.4777
387.37,0.4777
389.59,0.4777
391.82,0.4777
394.05,0.4777
396.32,0.4777
398.54,0.4777
400.77,0.4777
403.00,0.4777
405.22,0.4777
407.45,0.4777
409.67,0.4777
411.90,0.4777
414.13,0.4777
416.35,0.4777
418.58,0.4777
420.80,0.4777
423.03,0.4778
425.26,0.4778
427.48,0.4778
429.71,0.4778
431.93,0.4778
434.16,0.4778
436.39,0.4778
438.61,0.4778
440.84,0.4778
443.06,0.4778
445.29,0.4778
447.52,0.4778
449.74,0.4778
451.97,0.4778
454.19,0.4778
456.42,0.4778
458.65,0.4778
460.87,0.4778
463.10,0.4778
465.32,0.4778
467.55,0.4778
469.78,0.4778
472.00,0.4778
474.23,0.4778
476.45,0.4778
478.68,0.4778
480.91,0.4778
483.13,0.4778
485.36,0.4778
487.58,0.4778
489.81,0.4778
492.04,0.4778
494.26,0.4778
496.49,0.4778
498.71,0.4778
500.94,0.4778
503.17,0.4778
505.39,0.4778
507.62,0.4778
509.84,0.4778
512.07,0.4779
514.30,0.4779
516.52,0.4779
518.75,0.4779
520.97,0.4779
523.20,0.4779
525.43,0.4779
527.65,0.4779
529.88,0.4779
532.10,0.4779
534.33,0.4779
536.56,0.4779
538.78,0.4779
541.01,0.4779
543.23,0.4779
545.46,0.4779
547.69,0.4779
549.91,0.4779
552.14,0.4779
554.36,0.4779
556.59,0.4779
558.82,0.4779
561.04,0.4779
563.27,0.4779
565.49,0.4779
567.72,0.4779
569.95,0.4779
572.17,0.4779
574.40,0.4779
576.68,0.4779
578.90,0.4779
581.13,0.4779
583.35,0.4779
585.58,0.4779
587.81,0.4779
590.03,0.4779
592.26,0.4779
594.48,0.4779
596.71,0.4779
598.94,0.4779
601.16,0.4779
603.39,0.4779
605.61,0.4779
607.84,0.4779
610.07,0.4779
612.29,0.4779
614.52,0.4779
616.74,0.4779
618.97,0.4779
621.20,0.4779
623.42,0.4779
625.65,0.4779
627.87,0.4779
630.10,0.4779
632.33,0.4779
634.55,0.4779
636.78,0.4779
639.00,0.4779
641.23,0.4779
643.46,0.4779
645.68,0.4779
647.91,0.4779
650.13,0.4779
652.36,0.4779
654.59,0.4779
656.81,0.4779
659.04,0.4779
661.26,0.4779
663.49,0.4779
665.72,0.4779
667.94,0.4779
670.17,0.4779
672.39,0.4779
674.62,0.4779
676.85,0.4779
679.07,0.4779
681.30,0.4779
683.52,0.4779
685.75,0.4779
687.98,0.4779
690.20,0.4779
692.43,0.4779
694.65,0.4779
696.88,0.4779
699.11,0.4779
701.33,0.4779
703.56,0.4779
705.78,0.4779
708.01,0.4779
710.24,0.4779
712.46,0.4779
714.69,0.4779
716.91,0.4779
719.14,0.4779
721.37,0.4779
723.59,0.4779
725.82,0.4779
728.04,0.4779
730.27,0.4779
732.50,0.4779
734.72,0.4779
736.95,0.4779
739.17,0.4779
741.40,0.4779
743.63,0.4779
745.85,0.4779
748.08,0.4779
750.30,0.4779
752.53,0.4779
754.76,0.4779
757.06,0.4779
759.29,0.4779
761.51,0.4779
763.74,0.4779
765.97,0.4779
768.19,0.4779
770.42,0.4779
772.64,0.4779
774.87,0.4779
777.10,0.4779
779.32,0.4779
781.55,0.4779
783.77,0.4779
786.00,0.4779
788.23,0.4779
790.45,0.4779
792.68,0.4779
794.90,0.4779
797.13,0.4779
799.36,0.4779
801.58,0.4779
803.81,0.4779
806.03,0.4779
808.26,0.4779
810.49,0.4779
812.71,0.4779
814.94,0.4779
817.16,0.4779
819.39,0.4779
821.62,0.4779
823.84,0.4779
826.07,0.4779
828.29,0.4779
830.52,0.4779
832.75,0.4779
834.97,0.4779
837.20,0.4779
839.42,0.4779
841.65,0.4779
843.88,0.4779
846.10,0.4779
848.33,0.4779
850.55,0.4779
852.78,0.4779
855.01,0.4779
857.23,0.4779
859.46,0.4779
861.68,0.4779
863.91,0.4779
866.14,0.4779
868.36,0.4779
870.59,0.4779
872.81,0.4779
875.04,0.4779
877.27,0.4779
879.49,0.4779
881.72,0.4779
883.94,0.4779
886.17,0.4779
888.40,0.4779
890.62,0.4779
892.85,0.4779
895.07,0.4779
897.30,0.4779
899.53,0.4779
901.75,0.4779
903.98,0.4779
906.20,0.4779
908.43,0.4779
910.66,0.4779
912.88,0.4779
915.11,0.4779
917.33,0.4779
919.56,0.4779
921.79,0.4779
924.01,0.4779
926.24,0.4779
928.46,0.4779
930.69,0.4779
932.92,0.4779
935.14,0.4779
937.37,0.4779
939.59,0.4779
941.82,0.4779
944.05,0.4779
946.27,0.4779
948.50,0.4779
950.72,0.4779
952.95,0.4779
955.18,0.4779
957.40,0.4779
959.63,0.4779
961.85,0.4779
964.08,0.4779
966.31,0.4779
968.65,0.4779
970.88,0.4779
973.11,0.4779
975.33,0.4779
977.56,0.4779
979.78,0.4779
982.01,0.4779
984.24,0.4779
986.46,0.4779
988.69,0.4779
990.91,0.4779
993.14,0.4779
995.37,0.4779
997.59,0.4779
999.82,0.4779
1002.04,0.4779
1004.27,0.4779
1006.50,0.4779
1008.72,0.4779
1010.95,0.4779
1013.17,0.4779
1015.40,0.4779
1017.63,0.4779
1019.85,0.4779
1022.08,0.4779
1024.30,0.4779
1026.53,0.4779
1028.76,0.4780
1030.98,0.4780
1033.21,0.4780
1035.43,0.4780
1037.66,0.4780
1039.89,0.4780
1042.11,0.4780
1044.34,0.4780
1046.56,0.4780
1048.79,0.4780
1051.02,0.4780
1053.24,0.4780
1055.47,0.4780
1057.69,0.4780
1059.92,0.4780
1062.15,0.4780
1064.37,0.4780
1066.60,0.4780
1068.82,0.4780
1071.05,0.4780
1073.28,0.4780
1075.50,0.4780
1077.73,0.4780
1079.95,0.4780
1082.18,0.4780
1084.41,0.4780
1086.63,0.4780
1088.86,0.4780
1091.08,0.4780
1093.31,0.4780
1095.54,0.4780
1097.76,0.4780
1099.99,0.4780
1102.21,0.4780
1104.44,0.4780
1106.67,0.4780
1108.89,0.4780
1111.12,0.4780
1113.34,0.4780
1115.57,0.4780
1117.80,0.4780
1120.02,0.4780
1122.25,0.4780
1124.47,0.4780
1126.70,0.4780
1128.93,0.4780
1131.15,0.4780
1133.38,0.4780
1135.60,0.4780
1137.83,0.4780
1140.06,0.4780
1142.28,0.4780
1144.51,0.4780
1146.73,0.4780
1148.96,0.4780
1151.19,0.4780
1153.41,0.4780
1155.64,0.4780
1157.86,0.4780
1160.09,0.4780
1162.32,0.4780
1164.54,0.4780
1166.77,0.4780
1168.99,0.4780
1171.22,0.4780
1173.45,0.4780
1175.67,0.4780
1177.90,0.4780
1180.12,0.4780
1182.35,0.4780
1184.58,0.4780
1186.80,0.4780
1189.03,0.4780
1191.25,0.4780
1193.48,0.4780
1195.71,0.4780
1197.93,0.4780
1200.16,0.4780
1202.38,0.4780
1204.61,0.4780
1206.84,0.4780
1209.06,0.4780
1211.29,0.4780
1213.51,0.4780
1215.74,0.4780
1217.97,0.4780
1220.19,0.4780
1222.42,0.4780
1224.64,0.4780
1226.87,0.4780
1229.22,0.4780
1231.44,0.4780
1233.67,0.4780
1235.90,0.4780
1238.12,0.4780
1240.35,0.4780
1242.57,0.4780
1244.80,0.4780
1247.03,0.4780
1249.25,0.4780
1251.48,0.4780
1253.70,0.4780
1255.93,0.4780
1258.16,0.4780
1260.38,0.4780
1262.61,0.4780
1264.83,0.4780
1267.06,0.4780
1269.29,0.4780
1271.51,0.4780
1273.74,0.4780
1275.96,0.4780
1278.19,0.4780
1280.42,0.4780
1282.64,0.4780
1284.87,0.4780
1287.09,0.4780
1289.32,0.4780
1291.55,0.4780
1293.77,0.4780
1296.00,0.4780
1298.22,0.4780
1300.45,0.4780
1302.68,0.4780
1304.90,0.4780
1307.13,0.4780
1309.35,0.4780
1311.58,0.4780
1313.81,0.4780
1316.03,0.4780
1318.26,0.4780
1320.48,0.4780
1322.71,0.4780
1324.94,0.4780
1327.16,0.4780
1329.39,0.4780
