t_s,er
0.00,0.0296
0.31,0.0303
0.58,0.0303
0.86,0.0303
1.14,0.0303
1.42,0.0303
1.70,0.0305
1.97,0.0306
2.25,0.0307
2.53,0.0308
2.81,0.0319
3.09,0.0332
3.36,0.0340
3.64,0.0361
3.92,0.0391
4.20,0.0420
4.48,0.0470
4.75,0.0526
5.03,0.0577
5.31,0.0621
5.59,0.0671
5.87,0.0712
6.14,0.0749
6.42,0.0788
6.70,0.0809
6.98,0.0818
7.26,0.0824
7.53,0.0832
7.81,0.0838
8.09,0.0842
8.37,0.0846
8.65,0.0851
8.92,0.0856
9.20,0.0857
9.48,0.0859
9.76,0.0862
10.04,0.0863
10.31,0.0864
10.59,0.0866
10.87,0.0867
11.15,0.0868
11.43,0.0869
11.70,0.0872
11.98,0.0874
12.26,0.0877
12.54,0.0880
12.82,0.0883
13.09,0.0888
13.37,0.0890
13.65,0.0891
13.93,0.0893
14.21,0.0895
14.48,0.0899
14.76,0.0909
15.04,0.0912
15.32,0.0920
15.60,0.0931
15.87,0.0937
16.15,0.0940
16.43,0.0944
16.71,0.0951
16.99,0.0956
17.26,0.0959
17.54,0.0965
17.82,0.0970
18.10,0.0972
18.38,0.0979
18.65,0.0983
18.93,0.0991
19.21,0.0997
19.49,0.1004
19.77,0.1018
20.04,0.1024
20.32,0.1035
20.60,0.1041
20.88,0.1047
21.16,0.1048
21.43,0.1048
21.71,0.1051
21.99,0.1054
22.27,0.1058
22.55,0.1062
22.82,0.1065
23.10,0.1070
23.38,0.1078
23.66,0.1088
23.94,0.1094
24.21,0.1106
24.49,0.1114
24.77,0.1123
25.05,0.1133
25.33,0.1137
25.60,0.1138
25.88,0.1140
26.16,0.1142
26.44,0.1144
26.72,0.1148
26.99,0.1153
27.27,0.1160
27.55,0.1167
27.83,0.1174
28.11,0.1179
28.38,0.1190
28.66,0.1200
28.94,0.1211
29.22,0.1220
29.50,0.1236
29.77,0.1246
30.05,0.1257
30.33,0.1273
30.61,0.1283
30.89,0.1293
31.16,0.1304
31.44,0.1308
31.72,0.1309
32.00,0.1309
32.28,0.1309
32.55,0.1309
32.83,0.1309
33.11,0.1310
33.39,0.1311
33.67,0.1311
33.94,0.1311
34.22,0.1311
34.50,0.1311
34.78,0.1311
35.06,0.1311
35.33,0.1311
35.61,0.1311
35.89,0.1312
36.17,0.1313
36.45,0.1314
36.72,0.1316
37.00,0.1318
37.28,0.1320
37.56,0.1322
37.84,0.1322
38.11,0.1322
38.39,0.1322
38.67,0.1323
38.95,0.1323
39.23,0.1323
39.50,0.1323
39.78,0.1323
40.06,0.1323
40.34,0.1323
40.62,0.1323
40.89,0.1323
41.17,0.1323
41.45,0.1323
41.73,0.1323
42.01,0.1323
42.28,0.1323
42.56,0.1323
42.84,0.1323
43.12,0.1323
43.40,0.1323
43.67,0.1323
43.95,0.1323
44.23,0.1324
44.51,0.1326
44.79,0.1344
45.06,0.1362
45.34,0.1381
45.62,0.1404
45.90,0.1427
46.18,0.1442
46.45,0.1450
46.73,0.1452
47.01,0.1453
47.29,0.1454
47.57,0.1455
47.84,0.1456
48.12,0.1456
48.40,0.1456
48.68,0.1456
48.96,0.1456
49.23,0.1456
49.51,0.1456
49.79,0.1456
50.07,0.1456
50.35,0.1456
50.62,0.1456
50.90,0.1456
51.18,0.1456
51.46,0.1456
51.74,0.1456
52.01,0.1456
52.29,0.1456
52.57,0.1456
52.85,0.1456
53.13,0.1456
53.40,0.1456
53.68,0.1456
53.96,0.1456
54.24,0.1456
54.52,0.1456
54.79,0.1456
55.07,0.1456
55.35,0.1456
55.63,0.1456
55.91,0.1456
56.18,0.1456
56.46,0.1456
56.74,0.1456
57.02,0.1456
57.30,0.1456
57.57,0.1456
57.85,0.1456
58.13,0.1456
58.41,0.1456
58.69,0.1456
58.96,0.1456
59.24,0.1456
59.52,0.1456
59.80,0.1457
60.08,0.1458
60.35,0.1460
60.63,0.1463
60.91,0.1465
61.19,0.1473
61.47,0.1482
61.74,0.1486
62.02,0.1493
62.30,0.1498
62.58,0.1507
62.86,0.1513
63.13,0.1521
63.41,0.1524
63.69,0.1524
63.97,0.1526
64.25,0.1526
64.52,0.1526
64.80,0.1527
65.08,0.1527
65.36,0.1527
65.64,0.1528
65.91,0.1529
66.19,0.1530
66.47,0.1532
66.75,0.1533
67.03,0.1533
67.30,0.1533
67.58,0.1533
67.86,0.1533
68.14,0.1533
68.42,0.1533
68.69,0.1533
68.97,0.1533
69.25,0.1533
69.53,0.1533
69.81,0.1533
70.08,0.1533
70.36,0.1533
70.64,0.1533
70.92,0.1533
71.20,0.1533
71.47,0.1533
71.75,0.1533
72.03,0.1533
72.31,0.1533
72.59,0.1533
72.86,0.1533
73.14,0.1533
73.42,0.1533
73.70,0.1537
73.98,0.1540
74.25,0.1542
74.53,0.1546
74.81,0.1550
75.09,0.1556
75.37,0.1562
75.64,0.1568
75.92,0.1574
76.20,0.1583
76.48,0.1593
76.76,0.1598
77.03,0.1601
77.31,0.1604
77.59,0.1613
77.87,0.1623
78.15,0.1635
78.42,0.1652
78.70,0.1670
78.98,0.1681
79.26,0.1691
79.54,0.1696
79.81,0.1697
80.09,0.1699
80.37,0.1699
80.65,0.1699
80.93,0.1700
81.20,0.1700
81.48,0.1701
81.76,0.1701
82.04,0.1701
82.32,0.1701
82.59,0.1701
82.87,0.1701
83.15,0.1701
83.43,0.1703
83.71,0.1704
83.98,0.1706
84.26,0.1709
84.54,0.1710
84.82,0.1712
85.10,0.1713
85.37,0.1714
85.65,0.1714
85.93,0.1714
86.21,0.1715
86.49,0.1716
86.76,0.1716
87.04,0.1717
87.32,0.1718
87.60,0.1718
87.88,0.1718
88.15,0.1719
88.43,0.1719
88.71,0.1719
88.99,0.1719
89.27,0.1719
89.54,0.1719
89.82,0.1720
90.10,0.1720
90.38,0.1721
90.66,0.1721
90.93,0.1722
91.21,0.1724
91.49,0.1732
91.77,0.1738
92.05,0.1751
92.32,0.1770
92.60,0.1786
92.88,0.1798
93.16,0.1806
93.44,0.1809
93.71,0.1813
93.99,0.1819
94.27,0.1826
94.55,0.1836
94.83,0.1847
95.10,0.1860
95.38,0.1870
95.66,0.1884
95.94,0.1896
96.22,0.1907
96.49,0.1915
96.77,0.1927
97.05,0.1935
97.33,0.1942
97.61,0.1948
97.88,0.1955
98.16,0.1963
98.44,0.1972
98.72,0.1986
99.00,0.2006
99.27,0.2026
99.55,0.2050
99.83,0.2070
100.11,0.2089
100.39,0.2102
100.66,0.2111
100.94,0.2118
101.22,0.2133
101.50,0.2157
101.78,0.2179
102.05,0.2211
102.33,0.2244
102.61,0.2279
102.89,0.2309
103.17,0.2332
103.44,0.2361
103.72,0.2386
104.00,0.2408
104.28,0.2430
104.56,0.2453
104.83,0.2469
105.11,0.2489
105.39,0.2506
105.67,0.2526
105.95,0.2547
106.22,0.2557
106.50,0.2571
106.78,0.2584
107.06,0.2601
107.34,0.2620
107.61,0.2641
107.89,0.2661
108.17,0.2680
108.45,0.2693
108.73,0.2700
109.00,0.2708
109.28,0.2710
109.56,0.2712
109.84,0.2714
110.12,0.2715
110.39,0.2718
110.67,0.2722
110.95,0.2728
111.23,0.2731
111.51,0.2736
111.78,0.2740
112.06,0.2742
112.34,0.2745
112.62,0.2748
112.90,0.2750
113.17,0.2753
113.45,0.2756
113.73,0.2758
114.01,0.2762
114.29,0.2766
114.56,0.2769
114.84,0.2773
115.12,0.2776
115.40,0.2782
115.68,0.2786
115.95,0.2809
116.23,0.2826
116.51,0.2847
116.79,0.2866
117.07,0.2882
117.34,0.2896
117.62,0.2900
117.90,0.2904
118.18,0.2909
118.46,0.2925
118.73,0.2928
119.01,0.2929
119.29,0.2931
119.57,0.2934
119.85,0.2936
120.12,0.2937
120.40,0.2940
120.68,0.2941
120.96,0.2943
121.24,0.2945
121.51,0.2947
121.79,0.2953
122.07,0.2959
122.35,0.2968
122.63,0.2973
122.90,0.2977
123.18,0.2984
123.46,0.2989
123.74,0.2998
124.02,0.3009
124.29,0.3021
124.57,0.3031
124.85,0.3046
125.13,0.3057
125.41,0.3073
125.68,0.3086
125.96,0.3104
126.24,0.3118
126.52,0.3132
126.80,0.3151
127.07,0.3168
127.35,0.3205
127.63,0.3248
127.91,0.3281
128.19,0.3304
128.46,0.3323
128.74,0.3340
129.02,0.3344
129.30,0.3350
129.58,0.3355
129.85,0.3361
130.13,0.3369
130.41,0.3377
130.69,0.3392
130.97,0.3410
131.24,0.3429
131.52,0.3453
131.80,0.3474
132.08,0.3493
132.36,0.3523
132.63,0.3542
132.91,0.3561
133.19,0.3580
133.47,0.3587
133.75,0.3594
134.02,0.3594
134.30,0.3594
134.58,0.3595
134.86,0.3595
135.14,0.3595
135.41,0.3595
135.69,0.3596
135.97,0.3596
136.25,0.3596
136.53,0.3596
136.80,0.3596
137.08,0.3596
137.36,0.3596
137.64,0.3596
137.92,0.3596
138.19,0.3596
138.47,0.3596
138.75,0.3599
139.03,0.3600
139.31,0.3610
139.58,0.3616
139.86,0.3630
140.14,0.3638
140.42,0.3655
140.70,0.3664
140.97,0.3679
141.25,0.3693
141.53,0.3706
141.81,0.3723
142.09,0.3735
142.36,0.3750
142.64,0.3762
142.92,0.3774
143.20,0.3788
143.48,0.3799
143.75,0.3813
144.03,0.3827
144.31,0.3839
144.59,0.3858
144.87,0.3881
145.14,0.3914
145.42,0.3956
145.70,0.3990
145.98,0.4024
146.26,0.4054
146.53,0.4088
146.81,0.4108
147.09,0.4134
147.37,0.4155
147.65,0.4171
147.92,0.4190
148.20,0.4201
148.48,0.4217
148.76,0.4223
149.04,0.4228
149.31,0.4230
