t_s,er
0.00,0.0870
0.31,0.0893
0.62,0.0915
0.93,0.0943
1.24,0.0961
1.55,0.0976
1.86,0.0998
2.17,0.1009
2.48,0.1018
2.79,0.1025
3.10,0.1031
3.41,0.1036
3.72,0.1049
4.03,0.1060
4.34,0.1069
4.65,0.1086
4.96,0.1098
5.27,0.1119
5.58,0.1141
5.89,0.1162
6.20,0.1186
6.51,0.1203
6.82,0.1229
7.13,0.1253
7.44,0.1284
7.75,0.1312
8.06,0.1325
8.37,0.1340
8.68,0.1344
8.99,0.1347
9.30,0.1358
9.61,0.1366
9.92,0.1374
10.23,0.1384
10.54,0.1389
10.85,0.1395
11.16,0.1417
11.47,0.1427
11.78,0.1438
12.09,0.1446
12.40,0.1448
12.71,0.1459
13.02,0.1466
13.33,0.1468
13.64,0.1474
13.95,0.1479
14.26,0.1488
14.57,0.1491
14.88,0.1494
15.19,0.1496
15.50,0.1499
15.81,0.1504
16.12,0.1511
16.43,0.1514
16.74,0.1515
17.05,0.1515
17.36,0.1518
17.67,0.1520
17.98,0.1521
18.29,0.1522
18.60,0.1522
18.91,0.1522
19.22,0.1522
19.53,0.1522
19.84,0.1522
20.15,0.1522
20.46,0.1522
20.77,0.1522
21.08,0.1522
21.39,0.1522
21.70,0.1522
22.01,0.1522
22.32,0.1522
22.63,0.1522
22.94,0.1522
23.25,0.1522
23.56,0.1522
23.87,0.1522
24.18,0.1522
24.49,0.1522
24.80,0.1522
25.11,0.1528
25.42,0.1532
25.73,0.1532
26.04,0.1532
26.35,0.1535
26.66,0.1535
26.97,0.1550
27.28,0.1585
27.59,0.1613
27.90,0.1631
28.21,0.1642
28.52,0.1664
28.83,0.1679
29.14,0.1702
29.45,0.1716
29.76,0.1733
30.07,0.1744
30.38,0.1758
30.69,0.1765
31.00,0.1771
31.31,0.1774
31.62,0.1774
31.93,0.1774
32.24,0.1775
32.55,0.1778
32.86,0.1778
33.17,0.1778
33.48,0.1780
33.79,0.1780
34.10,0.1785
34.41,0.1788
34.72,0.1792
35.03,0.1794
35.34,0.1794
35.65,0.1794
35.96,0.1794
36.27,0.1794
36.58,0.1794
36.89,0.1794
37.20,0.1794
37.51,0.1794
37.82,0.1794
38.13,0.1794
38.44,0.1794
38.75,0.1795
39.06,0.1796
39.37,0.1797
39.68,0.1797
39.99,0.1798
40.30,0.1799
40.61,0.1799
40.92,0.1799
41.23,0.1800
41.54,0.1800
41.85,0.1800
42.16,0.1800
42.47,0.1800
42.78,0.1801
43.09,0.1807
43.40,0.1811
43.71,0.1817
44.02,0.1820
44.33,0.1821
44.64,0.1821
44.95,0.1821
