t_s,er
0.00,0.0481
0.22,0.0481
0.46,0.0481
0.68,0.0481
0.91,0.0481
1.16,0.0481
1.39,0.0481
1.63,0.0481
1.86,0.0481
2.08,0.0481
2.32,0.0481
2.54,0.0481
2.77,0.0481
3.01,0.0481
3.23,0.0481
3.46,0.0481
3.69,0.0481
3.92,0.0481
4.15,0.0481
4.39,0.0481
4.61,0.0481
4.84,0.0481
5.07,0.0481
5.30,0.0481
5.54,0.0481
5.76,0.0481
5.99,0.0481
6.23,0.0481
6.46,0.0481
6.68,0.0481
6.91,0.0481
7.14,0.0481
7.38,0.0481
7.60,0.0481
7.83,0.0481
8.06,0.0481
8.29,0.0481
8.52,0.0481
8.75,0.0481
8.98,0.0481
9.21,0.0481
9.44,0.0481
9.67,0.0481
9.90,0.0481
10.14,0.0481
10.36,0.0481
10.59,0.0481
10.82,0.0481
11.05,0.0481
11.28,0.0481
11.52,0.0481
11.74,0.0481
11.97,0.0481
12.20,0.0481
12.43,0.0481
12.66,0.0481
12.90,0.0481
13.12,0.0481
13.35,0.0481
13.59,0.0481
13.82,0.0481
14.04,0.0481
14.28,0.0481
14.50,0.0481
14.73,0.0481
14.96,0.0481
15.19,0.0481
15.42,0.0481
15.66,0.0481
15.88,0.0481
16.12,0.0481
16.34,0.0481
16.57,0.0481
16.80,0.0481
17.03,0.0481
17.26,0.0481
17.49,0.0481
17.72,0.0481
17.95,0.0481
18.18,0.0481
18.41,0.0481
18.64,0.0481
18.88,0.0481
19.10,0.0481
19.33,0.0481
19.56,0.0481
19.79,0.0481
20.02,0.0481
20.26,0.0481
20.48,0.0481
20.71,0.0481
20.94,0.0481
21.17,0.0481
21.40,0.0481
21.64,0.0481
21.86,0.0481
22.09,0.0481
22.33,0.0481
22.55,0.0481
22.78,0.0481
23.01,0.0481
23.24,0.0481
23.47,0.0481
23.70,0.0481
23.93,0.0481
24.17,0.0481
24.39,0.0481
24.62,0.0481
24.85,0.0481
25.09,0.0481
25.31,0.0481
25.54,0.0481
25.77,0.0481
26.00,0.0481
26.23,0.0481
26.46,0.0481
26.69,0.0481
26.93,0.0481
27.16,0.0481
27.39,0.0481
27.61,0.0481
27.84,0.0481
28.08,0.0481
28.30,0.0481
28.54,0.0481
28.76,0.0481
29.00,0.0481
29.22,0.0481
29.45,0.0481
29.69,0.0481
29.92,0.0481
30.14,0.0481
30.37,0.0481
30.61,0.0481
30.84,0.0481
31.06,0.0481
31.29,0.0481
31.52,0.0481
31.75,0.0481
31.98,0.0481
32.23,0.0481
32.44,0.0481
32.67,0.0481
32.90,0.0481
33.13,0.0481
33.36,0.0481
33.60,0.0481
33.82,0.0481
34.05,0.0481
34.29,0.0481
34.52,0.0481
34.74,0.0481
34.97,0.0481
35.20,0.0481
35.43,0.0481
35.67,0.0481
35.90,0.0481
36.12,0.0481
36.36,0.0481
36.58,0.0481
