t_s,er
0.00,0.0294
0.27,0.0306
0.51,0.0313
0.75,0.0321
1.00,0.0324
1.24,0.0325
1.49,0.0327
1.73,0.0328
1.97,0.0329
2.22,0.0335
2.46,0.0338
2.71,0.0340
2.95,0.0345
3.19,0.0348
3.44,0.0352
3.68,0.0356
3.93,0.0366
4.17,0.0373
4.41,0.0378
4.66,0.0390
4.90,0.0403
5.15,0.0413
5.39,0.0424
5.63,0.0437
5.88,0.0449
6.12,0.0459
6.37,0.0473
6.61,0.0483
6.85,0.0492
7.10,0.0497
7.34,0.0501
7.59,0.0506
7.83,0.0509
8.07,0.0516
8.32,0.0519
8.56,0.0526
8.81,0.0530
9.05,0.0538
9.29,0.0545
9.54,0.0551
9.78,0.0561
10.03,0.0569
10.27,0.0578
10.51,0.0587
10.76,0.0596
11.00,0.0601
11.25,0.0609
11.49,0.0621
11.73,0.0635
11.98,0.0648
12.22,0.0668
12.47,0.0684
12.71,0.0703
12.95,0.0719
13.20,0.0734
13.44,0.0752
13.69,0.0768
13.93,0.0782
14.17,0.0795
14.42,0.0804
14.66,0.0810
14.91,0.0810
15.15,0.0810
15.39,0.0810
15.64,0.0810
15.88,0.0810
16.13,0.0810
16.37,0.0810
16.61,0.0810
16.86,0.0810
17.10,0.0810
17.35,0.0810
17.59,0.0811
17.83,0.0813
18.08,0.0813
18.32,0.0813
18.57,0.0813
18.81,0.0813
19.05,0.0813
19.30,0.0813
19.54,0.0815
19.79,0.0815
20.03,0.0815
20.27,0.0817
20.52,0.0819
20.76,0.0823
21.01,0.0825
21.25,0.0828
21.49,0.0831
21.74,0.0833
21.98,0.0838
22.23,0.0840
22.47,0.0846
22.71,0.0861
22.96,0.0874
23.20,0.0891
23.45,0.0906
23.69,0.0917
23.93,0.0923
24.18,0.0925
24.42,0.0925
24.67,0.0925
24.91,0.0925
25.15,0.0925
25.40,0.0925
25.64,0.0925
25.89,0.0925
26.13,0.0925
26.37,0.0925
26.62,0.0925
26.86,0.0925
27.11,0.0925
27.35,0.0926
27.59,0.0928
27.84,0.0928
28.08,0.0928
28.33,0.0928
28.57,0.0928
28.81,0.0928
29.06,0.0928
29.30,0.0928
29.55,0.0928
29.79,0.0928
30.03,0.0928
30.28,0.0928
30.52,0.0928
30.77,0.0928
31.01,0.0928
31.25,0.0928
31.50,0.0928
31.74,0.0928
31.99,0.0928
32.23,0.0928
32.47,0.0929
32.72,0.0930
32.96,0.0931
33.21,0.0933
33.45,0.0936
33.69,0.0939
33.94,0.0942
34.18,0.0945
34.43,0.0951
34.67,0.0958
34.91,0.0968
35.16,0.0975
35.40,0.0981
35.65,0.0988
35.89,0.1001
36.13,0.1012
36.38,0.1022
36.62,0.1032
36.87,0.1042
37.11,0.1054
37.35,0.1063
37.60,0.1070
37.84,0.1078
38.09,0.1084
38.33,0.1092
38.57,0.1100
38.82,0.1106
39.06,0.1114
39.31,0.1122
39.55,0.1131
39.79,0.1139
40.04,0.1147
40.28,0.1156
40.53,0.1164
40.77,0.1174
41.01,0.1183
41.26,0.1193
41.50,0.1200
41.75,0.1214
41.99,0.1221
42.23,0.1238
42.48,0.1261
42.72,0.1285
42.97,0.1320
43.21,0.1363
43.45,0.1397
43.70,0.1428
43.94,0.1456
44.19,0.1486
44.43,0.1515
44.67,0.1538
44.92,0.1567
45.16,0.1586
45.41,0.1604
45.65,0.1608
45.89,0.1611
46.14,0.1613
46.38,0.1615
46.63,0.1617
46.87,0.1620
47.11,0.1622
47.36,0.1624
47.60,0.1627
47.85,0.1629
48.09,0.1631
48.33,0.1631
48.58,0.1631
48.82,0.1632
49.07,0.1632
49.31,0.1633
49.55,0.1633
49.80,0.1633
50.04,0.1635
50.29,0.1636
50.53,0.1639
50.77,0.1642
51.02,0.1646
51.26,0.1652
51.51,0.1657
51.75,0.1663
51.99,0.1671
52.24,0.1680
52.48,0.1689
52.73,0.1699
52.97,0.1706
53.21,0.1715
53.46,0.1720
53.70,0.1730
53.95,0.1735
54.19,0.1743
54.43,0.1753
54.68,0.1760
54.92,0.1770
55.17,0.1779
55.41,0.1789
55.65,0.1797
55.90,0.1810
56.14,0.1822
56.39,0.1835
56.63,0.1846
56.87,0.1856
57.12,0.1867
57.36,0.1877
57.61,0.1886
57.85,0.1896
58.09,0.1906
58.34,0.1915
58.58,0.1926
58.83,0.1936
59.07,0.1947
59.31,0.1959
59.56,0.1970
59.80,0.1984
60.05,0.1997
60.29,0.2009
60.53,0.2021
60.78,0.2033
61.02,0.2043
61.27,0.2054
61.51,0.2067
61.75,0.2076
62.00,0.2088
62.24,0.2097
62.49,0.2110
62.73,0.2119
62.97,0.2133
63.22,0.2146
63.46,0.2160
63.71,0.2178
63.95,0.2194
64.19,0.2214
64.44,0.2232
64.68,0.2255
64.93,0.2277
65.17,0.2297
65.41,0.2317
65.66,0.2336
65.90,0.2354
66.15,0.2371
66.39,0.2393
66.63,0.2408
66.88,0.2424
67.12,0.2438
67.37,0.2454
67.61,0.2465
67.85,0.2479
68.10,0.2491
68.34,0.2504
68.59,0.2516
68.83,0.2533
69.07,0.2550
69.32,0.2570
69.56,0.2585
69.81,0.2603
70.05,0.2623
70.29,0.2650
70.54,0.2663
70.78,0.2681
71.03,0.2694
71.27,0.2707
71.51,0.2719
71.76,0.2737
72.00,0.2749
72.25,0.2764
72.49,0.2776
72.73,0.2792
72.98,0.2803
73.22,0.2817
73.47,0.2836
73.71,0.2851
73.95,0.2868
74.20,0.2880
74.44,0.2887
74.69,0.2893
74.93,0.2900
75.17,0.2906
75.42,0.2913
75.66,0.2920
75.91,0.2925
76.15,0.2928
76.39,0.2932
76.64,0.2935
76.88,0.2936
77.13,0.2938
77.37,0.2941
77.61,0.2944
77.86,0.2945
78.10,0.2948
78.35,0.2951
78.59,0.2952
78.83,0.2955
79.08,0.2957
79.32,0.2959
79.57,0.2962
79.81,0.2966
80.05,0.2966
80.30,0.2969
80.54,0.2971
80.79,0.2971
81.03,0.2976
81.27,0.2980
81.52,0.2987
81.76,0.3003
82.01,0.3018
82.25,0.3041
82.49,0.3053
82.74,0.3065
82.98,0.3075
83.23,0.3079
83.47,0.3090
83.71,0.3096
83.96,0.3096
84.20,0.3096
84.45,0.3096
84.69,0.3098
84.93,0.3100
85.18,0.3101
85.42,0.3102
85.67,0.3103
85.91,0.3105
86.15,0.3108
86.40,0.3112
86.64,0.3115
86.89,0.3119
87.13,0.3125
87.37,0.3126
87.62,0.3128
87.86,0.3130
88.11,0.3133
88.35,0.3134
88.59,0.3136
88.84,0.3137
89.08,0.3139
89.33,0.3140
89.57,0.3140
89.81,0.3143
90.06,0.3143
90.30,0.3145
90.55,0.3146
90.79,0.3148
91.03,0.3149
91.28,0.3153
91.52,0.3155
91.77,0.3158
92.01,0.3163
92.25,0.3169
92.50,0.3177
92.74,0.3184
92.99,0.3191
93.23,0.3203
93.47,0.3216
93.72,0.3226
93.96,0.3238
94.21,0.3253
94.45,0.3264
94.69,0.3276
94.94,0.3287
95.18,0.3294
95.43,0.3305
95.67,0.3314
95.91,0.3323
96.16,0.3333
96.40,0.3362
96.65,0.3388
96.89,0.3431
97.13,0.3465
97.38,0.3496
97.62,0.3528
97.87,0.3559
98.11,0.3590
98.35,0.3616
98.60,0.3645
98.84,0.3680
99.09,0.3713
99.33,0.3728
99.57,0.3741
99.82,0.3764
100.06,0.3775
100.31,0.3783
100.55,0.3789
100.79,0.3796
101.04,0.3808
101.28,0.3818
101.53,0.3825
101.77,0.3833
102.01,0.3839
102.26,0.3846
102.50,0.3856
102.75,0.3864
102.99,0.3871
103.23,0.3883
103.48,0.3889
103.72,0.3900
103.97,0.3907
104.21,0.3916
104.45,0.3928
104.70,0.3937
104.94,0.3948
105.19,0.3963
105.43,0.3985
105.67,0.4010
105.92,0.4048
106.16,0.4083
106.41,0.4111
106.65,0.4136
106.89,0.4160
107.14,0.4190
107.38,0.4203
107.63,0.4221
107.87,0.4237
108.11,0.4249
108.36,0.4265
108.60,0.4281
108.85,0.4300
