t_s,er
0.00,0.0541
3.52,0.0681
7.03,0.0816
10.53,0.0942
14.02,0.1035
17.52,0.1245
21.02,0.1470
24.55,0.1537
28.05,0.1628
31.56,0.1757
35.06,0.1807
38.56,0.1977
42.05,0.2053
45.56,0.2170
49.08,0.2516
52.58,0.2635
56.09,0.2725
59.59,0.2771
63.08,0.2951
66.58,0.3048
70.08,0.3147
73.58,0.3259
77.08,0.3374
80.58,0.3506
84.08,0.3808
87.58,0.3890
91.08,0.4047
94.60,0.4245
98.11,0.4354
101.61,0.4573
105.12,0.4662
108.62,0.4688
112.12,0.4821
115.61,0.4905
119.12,0.4919
122.61,0.4919
126.11,0.4919
129.61,0.4919
133.12,0.4919
136.61,0.4919
140.13,0.4919
143.64,0.4919
147.13,0.4919
150.63,0.4919
154.13,0.4919
157.63,0.4919
161.13,0.4919
164.63,0.4919
168.13,0.4919
171.64,0.4919
175.14,0.4919
178.64,0.4919
182.14,0.4919
185.64,0.4919
189.14,0.4919
192.64,0.4919
196.14,0.4919
199.64,0.4919
203.15,0.4919
206.64,0.4919
210.15,0.4919
213.64,0.4919
217.14,0.4919
220.65,0.4919
224.14,0.4919
227.64,0.4919
231.14,0.4919
234.64,0.4919
238.15,0.4919
241.67,0.4919
245.17,0.4919
248.67,0.4919
252.17,0.4919
255.67,0.4919
259.17,0.4919
262.71,0.4919
266.22,0.4919
269.73,0.4919
273.22,0.4919
276.74,0.4919
280.25,0.4919
283.76,0.4919
287.26,0.4919
290.77,0.4919
294.27,0.4919
297.77,0.4919
301.27,0.4919
304.77,0.4919
308.27,0.4919
311.77,0.4919
315.27,0.4919
318.77,0.4919
322.28,0.4919
325.78,0.4919
329.28,0.4919
332.80,0.4919
336.31,0.4919
339.82,0.4919
343.32,0.4919
346.82,0.4919
350.32,0.4919
353.82,0.4919
357.32,0.4919
360.82,0.4919
364.33,0.4919
367.83,0.4919
371.33,0.4919
374.83,0.4919
378.34,0.4919
381.83,0.4919
385.33,0.4919
388.85,0.4919
392.35,0.4919
395.87,0.4919
399.37,0.4919
402.88,0.4919
